UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Dr. Maya C. Popa,@MayaCPopa,2022-03-21T13:39:12.000Z,"Dr. Maya C. Popa
@MayaCPopa
·
Mar 21","Happy first day of spring from Virginia Woolf: 
13
1,988
11.3K",🌷,13,"1,988",11.3K,['https://pbs.twimg.com/media/FOYJuWyXoAQYDUg?format=png&name=small'],https://twitter.com/MayaCPopa/status/1505901843351851010
Dr. Maya C. Popa,@MayaCPopa,2022-03-26T15:25:47.000Z,"Dr. Maya C. Popa
@MayaCPopa
·
Mar 26",Langston Hughes:,,,,,['https://pbs.twimg.com/media/FOySFJPWQAIWhbU?format=png&name=small'],https://twitter.com/MayaCPopa/status/1507740605216137225
,,2022-03-13T02:59:50.000Z,,,,,,,['https://pbs.twimg.com/media/FNsqjqfVgAMidqs?format=png&name=360x360'],https://twitter.com/MayaCPopa/status/1502841838360748035
,,2022-03-18T18:18:28.000Z,,,,,,,['https://pbs.twimg.com/media/FOJs4p-XsAEMMJu?format=png&name=small'],https://twitter.com/MayaCPopa/status/1504884961597349891
,,2022-03-17T18:31:02.000Z,,,,,,,['https://pbs.twimg.com/media/FOEmK5ZXMAwagGv?format=png&name=small'],https://twitter.com/MayaCPopa/status/1504525733384830985
,,2022-03-19T01:15:42.000Z,,,,,,,['https://pbs.twimg.com/media/FOLMZOXXwAM0z-3?format=jpg&name=medium'],https://twitter.com/MayaCPopa/status/1504989961535299584
,,2022-03-12T16:24:26.000Z,,,,,,,['https://pbs.twimg.com/media/FNqZPbaXoAQTC7z?format=png&name=900x900'],https://twitter.com/MayaCPopa/status/1502681937336541192
,,2022-03-17T21:50:06.000Z,,,,,,,['https://pbs.twimg.com/media/FOFTvsyXIAYCIgr?format=png&name=small'],https://twitter.com/MayaCPopa/status/1504575832941121541
,,2022-03-18T13:38:25.000Z,,,,,,,['https://pbs.twimg.com/media/FOIskbnXIAcvdlf?format=png&name=small'],https://twitter.com/MayaCPopa/status/1504814483503464448
,,2022-03-29T01:18:18.000Z,,,,,,,['https://pbs.twimg.com/media/FO-stt_WUA0Zn0E?format=png&name=small'],https://twitter.com/MayaCPopa/status/1508614495073099779
,,2022-03-11T19:10:54.000Z,,,,,,,['https://pbs.twimg.com/media/FNl1mRQWUAkBdF4?format=png&name=900x900'],https://twitter.com/MayaCPopa/status/1502361440161828875
,,2022-03-25T21:53:53.000Z,,"6
56
332",,6,56,332,['https://pbs.twimg.com/media/FOuhTJVWUAAocGL?format=png&name=900x900'],https://twitter.com/MayaCPopa/status/1507475885674274819
Dr. Maya C. Popa,@MayaCPopa,2022-03-20T19:28:34.000Z,"Dr. Maya C. Popa
@MayaCPopa
·
Mar 20","""Helping each other fly home""
7
103
458",,7,103,458,['https://pbs.twimg.com/media/FOUQCw0XoAEs88o?format=png&name=small'],https://twitter.com/MayaCPopa/status/1505627378231529474
Dr. Maya C. Popa,@MayaCPopa,2022-03-13T16:02:04.000Z,"Dr. Maya C. Popa
@MayaCPopa
·
Mar 13","From ""My Work is Loving the World"" by Mary Oliver:",,,,,['https://pbs.twimg.com/media/FNvds96XsAQLimC?format=png&name=small'],https://twitter.com/MayaCPopa/status/1503038695783469058
,,2022-03-18T21:00:52.000Z,,,,,,,['https://pbs.twimg.com/media/FOKSCxcWYAIcwoh?format=png&name=small'],https://twitter.com/MayaCPopa/status/1504925830425817091
,,2022-03-27T14:38:32.000Z,,,,,,,['https://pbs.twimg.com/media/FO3Q3J8WQAwV0VE?format=png&name=small'],https://twitter.com/MayaCPopa/status/1508091104402489347
,,2022-03-12T02:13:40.000Z,,,,,,,['https://pbs.twimg.com/media/FNnWiCSXEAAstTg?format=jpg&name=medium'],https://twitter.com/MayaCPopa/status/1502467833212645377
,,2022-03-23T13:52:26.000Z,,,,,,,['https://pbs.twimg.com/media/FOif6AdX0AIpOm1?format=png&name=small'],https://twitter.com/MayaCPopa/status/1506629951344328709
,,2022-03-23T01:47:46.000Z,,,,,,,['https://pbs.twimg.com/media/FOf6F5XX0AIVQbr?format=jpg&name=small'],https://twitter.com/MayaCPopa/status/1506447581999730688
,,2022-03-28T00:51:33.000Z,,,,,,,['https://pbs.twimg.com/media/FO5dDVmXoAIkEl6?format=png&name=small'],https://twitter.com/MayaCPopa/status/1508245373852209153
